step,training_loss,validation_loss
5490,1.8758,
5500,2.2631,
5510,2.147,
5520,2.0842,
5530,1.9387,
5540,1.8783,
5550,1.9816,
5560,1.713,
5570,1.9178,
5580,2.1783,
5590,1.6711,
5600,2.3569,
5610,1.8293,
5620,1.9883,
5630,2.1412,
5640,2.3366,
5650,1.8578,
5660,2.0141,
5670,1.9724,
5680,1.9381,
5690,1.8705,
5700,2.0447,
5710,2.0926,
5720,2.2008,
5730,2.0784,
5740,2.0847,
5750,1.9579,
5760,2.0109,
5770,2.1561,
5780,2.2975,
5790,1.7725,
5800,2.0877,
5810,2.0232,
5820,1.72,
5830,1.9507,
5840,1.9721,
5850,2.1122,
5860,2.6571,
5870,1.7743,
5880,1.7798,
5890,2.1982,
5900,1.722,
5910,1.8308,
5920,1.8274,
5930,1.9147,
5940,1.7779,
5950,1.9935,
5960,2.1717,
5970,1.7066,
5980,2.1429,
5990,2.0906,
6000,1.9076,
6010,1.9956,
6020,2.0265,
6030,2.0587,
6040,2.1039,
6050,2.1165,
6060,2.0648,
6070,1.9868,
6080,2.1316,
6090,2.2332,
6100,2.095,
6110,1.9711,
6120,1.8633,
6130,2.1457,
6140,1.8439,
6150,2.1676,
6160,1.9352,
6170,1.9223,
6180,2.1992,
6190,1.7208,
6200,2.0017,
6210,1.8451,
6220,1.8477,
6230,1.8732,
6240,1.9236,
6250,1.9996,
6260,1.8131,
6270,2.1864,
6280,2.2523,
6290,1.7299,
6300,1.9407,
6310,1.9878,
6320,1.8779,
6330,1.7587,
6340,2.0048,
6350,2.0739,
6360,1.9304,
6370,1.923,
6380,1.7006,
6390,2.0125,
6400,2.0974,
6410,1.8243,
6420,1.8645,
6430,2.0389,
6440,2.3326,
6450,1.9413,
6460,1.9397,
6470,1.6791,
6480,2.192,
6490,2.0402,
6500,1.8845,
6510,1.8445,
6520,2.0316,
6530,1.9036,
6540,1.6475,
6550,2.1929,
6560,1.9034,
6570,1.9317,
6580,2.0959,
6590,1.8736,
6600,1.9796,
6610,1.9439,
6620,1.9411,
6630,1.733,
6640,1.914,
6650,1.8175,
6660,1.8703,
6670,2.1269,
6680,2.122,
6690,2.3406,
6700,1.7254,
6710,2.1181,
6720,1.9741,
6730,2.2037,
6740,2.0736,
6750,1.6381,
6760,1.9451,
6770,2.1535,
6780,1.7489,
6790,2.1544,
6800,1.8992,
6810,1.7506,
6820,2.1662,
6830,2.1562,
6840,1.5874,
6850,2.0898,
6860,1.9475,
6870,1.9195,
6880,1.9773,
6890,2.0598,
6900,1.906,
6910,1.6959,
6920,1.9757,
6930,1.8653,
6940,1.7169,
6950,2.1614,
6960,1.7405,
6970,2.0689,
6980,1.8762,
6990,1.8262,
7000,1.8268,
7010,2.034,
7020,1.7073,
7030,2.0491,
7040,1.8052,
7050,1.9956,
7060,2.1829,
7070,1.9523,
7080,2.1548,
7090,2.0761,
7100,2.0515,
7110,2.0934,
7120,1.7742,
7130,2.2858,
7140,1.9312,
7150,1.8697,
7160,2.3732,
7170,1.8876,
7180,1.9166,
7190,2.0291,
7200,1.8264,
7210,2.0537,
7220,2.0762,
7230,2.3918,
7240,1.6719,
7250,1.9081,
7260,1.8546,
7270,2.161,
7280,1.8255,
7290,1.9015,
7300,2.1697,
7310,2.0238,
7320,2.1422,
7330,1.9129,
7340,1.9948,
7350,2.368,
7360,2.0078,
7370,1.7552,
7380,2.1645,
7390,2.2119,
7400,2.1691,
7410,2.0429,
7420,2.11,
7430,1.9454,
7440,2.2925,
7450,1.8352,
7460,2.0256,
7470,2.4588,
7480,1.9159,
