step,training_loss,validation_loss
5480,1.9239,
5490,1.8067,
5500,2.3181,
5510,2.1053,
5520,2.0482,
5530,1.8932,
5540,1.863,
5550,1.9413,
5560,1.6928,
5570,1.8807,
5580,2.1205,
5590,1.6652,
5600,2.2565,
5610,1.7919,
5620,1.9748,
5630,2.1238,
5640,2.2977,
5650,1.8336,
5660,1.9925,
5670,1.9659,
5680,1.9092,
5690,1.8531,
5700,2.0162,
5710,2.0818,
5720,2.1812,
5730,2.0456,
5740,2.0666,
5750,1.9044,
5760,1.9708,
5770,2.1036,
5780,2.2201,
5790,1.7611,
5800,2.0547,
5810,2.0003,
5820,1.7053,
5830,1.9275,
5840,1.9215,
5850,2.0011,
5860,2.5153,
5870,1.7605,
5880,1.7485,
5890,2.1658,
5900,1.6997,
5910,1.7933,
5920,1.8074,
5930,1.8906,
5940,1.7439,
5950,1.9618,
5960,2.1321,
5970,1.6787,
5980,2.0866,
5990,2.0566,
6000,1.874,
6010,1.9683,
6020,2.0049,
6030,2.0099,
6040,2.0869,
6050,2.0588,
6060,2.0414,
6070,1.9687,
6080,2.0704,
6090,2.1931,
6100,2.0461,
6110,1.9492,
6120,1.8441,
6130,2.1087,
6140,1.8016,
6150,2.0821,
6160,1.8915,
6170,1.8758,
6180,2.1063,
6190,1.7027,
6200,1.9762,
6210,1.8343,
6220,1.8346,
6230,1.8574,
6240,1.881,
6250,1.9677,
6260,1.8021,
6270,2.1307,
6280,2.2187,
6290,1.7185,
6300,1.9308,
6310,1.9664,
6320,1.8654,
6330,1.7393,
6340,1.9794,
6350,1.9528,
6360,1.9153,
6370,1.8724,
6380,1.6728,
6390,1.9576,
6400,2.0325,
6410,1.8112,
6420,1.8461,
6430,2.0185,
6440,2.3211,
6450,1.8963,
6460,1.9102,
6470,1.66,
6480,2.0777,
6490,2.0102,
6500,1.8544,
6510,1.8136,
6520,1.9497,
6530,1.8685,
6540,1.6258,
6550,2.1326,
6560,1.8627,
6570,1.9481,
6580,2.0697,
6590,1.845,
6600,1.9296,
6610,1.8766,
6620,1.8953,
6630,1.7119,
6640,1.8927,
6650,1.8096,
6660,1.827,
6670,2.0854,
6680,2.0233,
6690,2.3307,
6700,1.7114,
6710,2.0893,
6720,1.9559,
6730,2.1413,
6740,2.0396,
6750,1.6209,
6760,1.9188,
6770,2.046,
6780,1.7122,
6790,2.1271,
6800,1.8667,
6810,1.7246,
6820,2.1503,
6830,2.0896,
6840,1.5648,
6850,2.0224,
6860,1.8494,
6870,1.8946,
6880,1.9625,
6890,2.0222,
6900,1.864,
6910,1.653,
6920,1.8304,
6930,1.841,
6940,1.7184,
6950,2.1256,
6960,1.7228,
6970,2.0453,
6980,1.8785,
6990,1.8166,
7000,1.8139,
7010,1.9714,
7020,1.6833,
7030,1.9851,
7040,1.794,
7050,1.9508,
7060,2.1422,
7070,1.9307,
7080,2.1061,
7090,2.0521,
7100,2.032,
7110,1.9488,
7120,1.7705,
7130,2.2378,
7140,1.9106,
7150,1.8559,
7160,2.2438,
7170,1.8601,
7180,1.8972,
7190,1.9916,
7200,1.7991,
7210,2.0056,
7220,2.0558,
7230,2.2842,
7240,1.6281,
7250,1.8793,
7260,1.8061,
7270,2.1267,
7280,1.7962,
7290,1.8895,
7300,2.111,
7310,1.9859,
7320,2.1186,
7330,1.8745,
7340,1.9327,
7350,2.3426,
7360,1.9463,
7370,1.7326,
7380,2.1329,
7390,2.1388,
7400,2.1369,
7410,2.0108,
7420,2.0972,
7430,1.9416,
7440,2.1676,
7450,1.813,
7460,2.0107,
7470,2.3724,
7480,1.8851,
7490,1.9532,
7500,1.9246,
7510,1.8835,
7520,1.8729,
7530,1.7355,
7540,1.8181,
7550,1.8037,
7560,1.9178,
7570,2.3634,
7580,2.1951,
7590,1.8393,
7600,1.7528,
7610,1.8347,
7620,2.1622,
7630,2.21,
7640,2.0137,
7650,1.9831,
7660,1.8809,
7670,1.8364,
7680,1.7432,
7690,1.7337,
7700,1.6013,
7710,2.0093,
7720,2.4573,
7730,1.7831,
7740,2.0615,
7750,2.0366,
7760,1.9105,
7770,1.958,
7780,1.7483,
7790,2.1675,
7800,1.8839,
7810,1.6787,
7820,1.8232,
7830,2.0505,
7840,2.2621,
7850,1.9865,
7860,1.9435,
7870,1.8839,
7880,1.967,
7890,2.0608,
7900,2.2425,
7910,1.9318,
7920,1.8114,
7930,2.051,
7940,2.1124,
7950,2.0099,
7960,2.1265,
7970,2.4037,
7980,1.7951,
7990,1.9881,
8000,1.9396,
8010,1.9266,
8020,2.0766,
8030,1.5375,
8040,1.7918,
8050,2.3533,
8060,2.0665,
8070,1.9487,
8080,2.005,
8090,2.1235,
8100,1.7693,
8110,1.736,
8120,1.8844,
8130,2.15,
8140,2.0601,
8150,2.1465,
8160,1.8719,
